rodada_id,mandante_media,mandante_pontos,mandante_variacao,mandante_atk,mandante_def,visitante_media,visitante_pontos,visitante_variacao,visitante_atk,visitante_def,resultado
1,88.41,44.2,19.61,37.5,40.099999999999994,19.53,9.76,-6.81,9.7,2.76,vitoria_mandante
1,18.63,9.3,-1.43,16.8,10.3,34.48,17.24,-8.1,29.1,9.29,vitoria_visitante
1,54.37,27.18,3.01,13.4,36.2,47.91,23.9,-6.41,12.3,31.400000000000002,empate
1,39.8,19.9,0.7,27.7,6.8999999999999995,20.03,10.01,-7.16,13.8,3.2,vitoria_mandante
1,28.86,14.43,-6.17,16.400000000000002,8.7,35.28,17.64,-1.23,19.5,10.3,vitoria_visitante
1,69.9,34.95,2.07,56.9,9.3,25.55,12.77,-2.01,14.500000000000002,5.999999999999999,empate
1,54.21,27.01,0.26,36.800000000000004,11.299999999999999,28.2,14.1,-6.77,20.1,4.6,vitoria_mandante
1,22.87,11.43,0.26,9.7,9.799999999999999,31.75,15.87,1.85,20.4,7.999999999999999,empate
1,48.72,24.36,2.76,29.9,12.5,81.18,40.59,1.66,27.8,12.9,vitoria_mandante
1,34.18,17.09,-3.05,21.8,19.0,31.75,15.87,-1.07,18.3,5.0,vitoria_visitante
2,91.11,45.55,0.0,38.1,23.8,58.2,29.1,0.0,50.60000000000001,53.3,vitoria_mandante
2,59.07,29.53,0.0,43.300000000000004,25.1,13.36,6.68,0.0,23.0,1.3999999999999995,vitoria_mandante
2,51.79,25.89,0.0,37.2,39.5,30.63,15.31,0.0,15.0,7.8,empate
2,49.27,24.63,0.0,25.1,7.699999999999999,44.95,22.47,0.0,54.1,18.0,vitoria_mandante
2,35.67,17.83,0.0,21.0,32.6,66.56,33.28,0.0,28.2,36.0,vitoria_visitante
2,63.84,31.92,0.0,62.8,16.799999999999997,33.6,16.88,0.0,30.8,11.899999999999999,vitoria_mandante
2,40.25,20.14,0.0,25.1,11.00,38.5,19.25,0.0,43.8,13.5,empate
2,104.95,52.47,0.0,49.2,48.9,33.76,16.88,0.0,21.6,40.7,vitoria_mandante
3,60.6,30.3,6.57,81.2,26.599999999999998,40.4,20.2,-2.07,78.5,28.5,vitoria_mandante
3,45.97,22.98,2.4599999999999995,55.3,45.2,17.28,8.64,-0.5999999999999999,9.3,17.2,vitoria_mandante
3,33.38,16.69,-0.1399999999999999,42.8,36.5,35.89,17.94,-6.05,34.800000000000004,56.3,vitoria_mandante
3,53.43,26.71,1.13,75.80000000000001,69.0,31.07,15.53,-6.0,57.3,21.9,vitoria_mandante
3,40.08,20.04,9.33,47.300000000000004,23.299999999999997,32.63,16.31,-2.29,33.6,17.7,empate
3,46.79,23.39,-4.6899999999999995,44.8,68.2,49.04,24.52,-2.8700000000000006,77.6,48.8,empate
3,55.72,27.86,0.42000000000000004,59.800000000000004,81.89999999999999,46.89,23.44,-4.359999999999999,70.4,51.7,vitoria_mandante
3,44.28,22.14,0.77,77.3,35.599999999999994,58.07,29.03,-1.0699999999999998,80.2,59.699999999999996,vitoria_mandante
3,16.439999999999998,8.12,-3.24,34.300000000000004,7.599999999999998,38.3,19.15,5.36,57.7,48.9,vitoria_visitante
